ALC;PT3X5;;1210375;143500000000;0.0;2023-05-31;;2025-05-29;2;PUT PT3X5 BCRA;45806;MAT2;AR0000PT3X5;032;;;
ALC;PT3X5;;1210375;143500000000;0.0;2023-05-31;;2025-05-29;2;PUT PT3X5 BCRA;45806;MAT2;AR0000PT3X5;032;;;
ALC;V23N4;;1250581;1398504.0;1199100684.62;2023-11-24;;2024-11-23;2;LEDIV V23/11/24;45619;MAT2;AR0000V23N4;840;;;
ALC;V23N4;;1250581;1398504.0;1199100684.62;2023-11-24;;2024-11-23;2;LEDIV V23/11/24;45619;MAT2;AR0000V23N4;840;;;
ALC;BB37X;;1250401;16340.0;6415449.46;2021-11-01;;2037-09-01;2;BONO PBA BB37X;50284;MAT2;XS2385151811;840;;;
TRD;94;;1411063;500000000;512500000;;;;2;;;;;;;;
TRD;MGCKO;;1210013;1000000000;1053640000;2024-02-29;;2025-02-28;2;ON PAMPA CL19;45716;MAT2;AR0035787495;032;;;
ALC;V16N4;;1250581;18180297;15588090258.76;2023-11-17;;2024-11-16;2;LEDIV V16/11/24;45612;MAT2;AR0000V16N4;840;;;
ALC;V16N4;;1250581;18180297;15588090258.76;2023-11-17;;2024-11-16;2;LEDIV V16/11/24;45612;MAT2;AR0000V16N4;840;;;
INV;RCCMO;;1257402;5000000.0;5060000.0;2023-05-22;;2025-11-22;2;ON ARCOR CL21;45983;MAT2;ARARCS5600I4;840;;;
INV;TN60O;;1214540;1524300000;1744866210;2023-11-03;;2024-11-03;2;ON TN CL60;45599;MAT2;AR0740853723;032;;;
TRD;TN60O;;1210013;2475276000;2865874552.8;2023-11-03;;2024-11-03;1;ON TN CL60;45599;MAT2;AR0740853723;032;;;
ALC;N08S4;;1411162;1800373019457;1676399333337.19;2024-03-12;;2024-09-08;2;NOTALIQ V080924;45543;MAT2;AR0000N08S4;032;;;
INV;TN59O;;1214540;1402483464;1636137209.1;2023-07-27;;2024-07-27;2;ON TN CL 59;45500;MAT2;ARTANA560196;032;;;
TRD;TN59O;;1210013;608580.0;717521.45;2023-07-27;;2024-07-27;2;ON TN CL 59;45500;MAT2;ARTANA560196;032;;;
